Stickstoff,Phosphor,Kalium,Temperatur,Feuchtigkeit,ph,Regenfall,Pflanzenart
71,54,16,22.61359953,63.69070564,5.749914421,87.75953857,Mais
61,44,17,26.10018422,71.57476937,6.931756558,102.2662445,Mais
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,Mais
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,Mais
61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,Mais
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,Mais
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,Mais
89,60,19,25.19192419,66.6902901,5.913664501,78.06639649,Mais
76,44,17,20.41683147,62.5542482,5.855442401,65.27798457,Mais
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,Mais
70,44,19,23.31689124,73.4541537,5.852607099,94.29712821,Mais
90,49,21,24.84016732,68.3584573,6.472523287,74.05474936,Mais
62,52,16,22.27526694,58.84015925,6.967057762,63.87020584,Mais
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,Mais
66,54,21,25.19008683,60.2001687,5.919045532,72.12375573,Mais
63,58,22,18.25405352,55.28220433,6.204747653,63.72358154,Mais
70,47,17,24.6129118,70.4162444,6.600827017,104.1626147,Mais
61,41,17,25.1420613,65.26185135,6.021902237,76.68456006,Mais
66,53,19,23.09348056,60.1159381,6.033550195,65.49730729,Mais
74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,Mais
77,57,21,24.9321581,73.80435276,6.550563823,79.74078719,Mais
99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,Mais
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,Mais
83,45,21,18.83344471,58.75082029,5.716222912,79.7532896,Mais
100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,Mais
79,51,16,25.33797709,68.49835977,6.586244581,96.46380213,Mais
94,39,18,23.89114571,57.48775781,5.893093135,102.8301942,Mais
75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,Mais
78,48,22,23.08974909,63.10459626,5.588650585,70.43473609,Mais
87,54,20,25.61707368,63.4711755,6.576418207,108.8303762,Mais
87,35,25,21.44526922,63.1621551,6.178056304,65.88951188,Mais
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,Mais
84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,Mais
64,35,23,23.02038334,61.89472002,5.680361038,63.03843397,Mais
60,46,22,24.89364635,65.61418761,6.625404348,87.9298085,Mais
98,44,21,25.77175115,74.089114,6.524478032,107.4931917,Mais
75,56,18,19.39851734,62.35750641,5.696205468,60.95197486,Mais
86,55,21,21.54156232,59.64024162,6.803931519,109.7515385,Mais
98,35,18,23.79746068,74.82913698,6.252797548,91.76337172,Mais
76,57,18,18.9802729,74.52600826,6.092725883,94.26249353,Mais
99,56,17,24.10859207,73.13112261,6.234330356,71.07562236,Mais
